"Scenario","peds beginning","peds end","percentage"
"Scenario1_OSM","10","0","100,00"
"Scenario1_CA","10","0","100,00"
"Scenario1_SFM","10","0","100,00"
"Scenario1_GN","10","0","100,00"
"Scenario2_OSM","10","0","100,00"
"Scenario2_CA","10","0","100,00"
"Scenario2_SFM","10","0","100,00"
"Scenario2_GN","10","0","100,00"
"Scenario3_OSM","30","0","100,00"
"Scenario3_CA","30","0","100,00"
"Scenario3_SFM","30","0","100,00"
"Scenario3_GN","30","0","100,00"
"Scenario4_OSM","5","0","100,00"
"Scenario4_CA","5","0","100,00"
"Scenario4_SFM","5","0","100,00"
"Scenario4_GN","5","0","100,00"
"Scenario5_OSM","30","0","100,00"
"Scenario5_CA","30","0","100,00"
"Scenario5_SFM","30","0","100,00"
"Scenario5_GN","30","0","100,00"
"Scenario6_OSM","400","0","100,00"
"Scenario6_CA","400","0","100,00"
"Scenario6_GN","400","0","100,00"
"Scenario7_OSM","400","0","100,00"
"Scenario7_CA","400","0","100,00"
"Scenario7_SFM","400","0","100,00"
"Scenario7_GN","400","0","100,00"
"Scenario8_OSM","1000","0","100,00"
"Scenario8_CA","1000","0","100,00"
"Scenario8_GN","1000","0","100,00"
