"Run","evacuationTime","createdPeds","flow"
"0","35.19999999999994","100.0","2.8409090909090957"
"1","35.999999999999936","100.0","2.7777777777777826"
"2","44.399999999999906","100.0","2.2522522522522572"
"3","41.19999999999992","100.0","2.427184466019422"
"4","35.19999999999994","100.0","2.8409090909090957"
"5","38.39999999999993","100.0","2.6041666666666714"
"6","35.59999999999994","100.0","2.808988764044949"
"7","37.59999999999993","100.0","2.659574468085111"
"8","38.39999999999993","100.0","2.6041666666666714"
"9","37.99999999999993","100.0","2.631578947368426"
"10","45.9999999999999","100.0","2.1739130434782656"
"11","39.199999999999925","100.0","2.55102040816327"
"12","33.199999999999946","100.0","3.0120481927710894"
"13","35.999999999999936","100.0","2.7777777777777826"
"14","38.39999999999993","100.0","2.6041666666666714"
"15","36.79999999999993","100.0","2.717391304347831"
"16","39.199999999999925","100.0","2.55102040816327"
"17","37.59999999999993","100.0","2.659574468085111"
"18","41.19999999999992","100.0","2.427184466019422"
"19","35.999999999999936","100.0","2.7777777777777826"
"20","36.399999999999935","100.0","2.747252747252752"
"21","37.19999999999993","100.0","2.6881720430107574"
"22","38.39999999999993","100.0","2.6041666666666714"
"23","37.19999999999993","100.0","2.6881720430107574"
"24","39.99999999999992","100.0","2.500000000000005"
"25","38.799999999999926","100.0","2.577319587628871"
"26","39.59999999999992","100.0","2.52525252525253"
"27","36.79999999999993","100.0","2.717391304347831"
"28","42.79999999999991","100.0","2.336448598130846"
"29","37.99999999999993","100.0","2.631578947368426"
"30","34.79999999999994","100.0","2.8735632183908097"
"31","34.39999999999994","100.0","2.9069767441860512"
"32","37.99999999999993","100.0","2.631578947368426"
"33","36.399999999999935","100.0","2.747252747252752"
"34","44.399999999999906","100.0","2.2522522522522572"
"35","36.399999999999935","100.0","2.747252747252752"
"36","40.39999999999992","100.0","2.47524752475248"
"37","35.59999999999994","100.0","2.808988764044949"
"38","38.39999999999993","100.0","2.6041666666666714"
"39","35.19999999999994","100.0","2.8409090909090957"
"40","38.39999999999993","100.0","2.6041666666666714"
"41","37.19999999999993","100.0","2.6881720430107574"
"42","37.59999999999993","100.0","2.659574468085111"
"43","38.39999999999993","100.0","2.6041666666666714"
"44","37.19999999999993","100.0","2.6881720430107574"
"45","35.999999999999936","100.0","2.7777777777777826"
"46","36.399999999999935","100.0","2.747252747252752"
"47","34.79999999999994","100.0","2.8735632183908097"
"48","35.999999999999936","100.0","2.7777777777777826"
"49","36.399999999999935","100.0","2.747252747252752"
"50","37.19999999999993","100.0","2.6881720430107574"
"51","38.799999999999926","100.0","2.577319587628871"
"52","38.799999999999926","100.0","2.577319587628871"
"53","34.79999999999994","100.0","2.8735632183908097"
"54","34.79999999999994","100.0","2.8735632183908097"
"55","36.79999999999993","100.0","2.717391304347831"
"56","37.19999999999993","100.0","2.6881720430107574"
"57","37.99999999999993","100.0","2.631578947368426"
"58","36.79999999999993","100.0","2.717391304347831"
"59","38.799999999999926","100.0","2.577319587628871"
"60","37.59999999999993","100.0","2.659574468085111"
"61","39.59999999999992","100.0","2.52525252525253"
"62","35.19999999999994","100.0","2.8409090909090957"
"63","37.99999999999993","100.0","2.631578947368426"
"64","35.999999999999936","100.0","2.7777777777777826"
"65","36.79999999999993","100.0","2.717391304347831"
"66","35.999999999999936","100.0","2.7777777777777826"
"67","35.999999999999936","100.0","2.7777777777777826"
"68","37.99999999999993","100.0","2.631578947368426"
"69","36.79999999999993","100.0","2.717391304347831"
"70","38.39999999999993","100.0","2.6041666666666714"
"71","39.199999999999925","100.0","2.55102040816327"
"72","35.59999999999994","100.0","2.808988764044949"
"73","40.79999999999992","100.0","2.450980392156868"
"74","38.799999999999926","100.0","2.577319587628871"
"75","37.19999999999993","100.0","2.6881720430107574"
"76","45.1999999999999","100.0","2.2123893805309782"
"77","37.99999999999993","100.0","2.631578947368426"
"78","37.59999999999993","100.0","2.659574468085111"
"79","36.399999999999935","100.0","2.747252747252752"
"80","35.59999999999994","100.0","2.808988764044949"
"81","37.99999999999993","100.0","2.631578947368426"
"82","37.19999999999993","100.0","2.6881720430107574"
"83","35.59999999999994","100.0","2.808988764044949"
"84","37.59999999999993","100.0","2.659574468085111"
"85","38.39999999999993","100.0","2.6041666666666714"
"86","38.39999999999993","100.0","2.6041666666666714"
"87","38.39999999999993","100.0","2.6041666666666714"
"88","37.19999999999993","100.0","2.6881720430107574"
"89","35.59999999999994","100.0","2.808988764044949"
"90","36.79999999999993","100.0","2.717391304347831"
"91","36.79999999999993","100.0","2.717391304347831"
"92","36.399999999999935","100.0","2.747252747252752"
"93","37.19999999999993","100.0","2.6881720430107574"
"94","43.99999999999991","100.0","2.2727272727272774"
"95","41.599999999999916","100.0","2.4038461538461586"
"96","36.79999999999993","100.0","2.717391304347831"
"97","41.599999999999916","100.0","2.4038461538461586"
"98","38.799999999999926","100.0","2.577319587628871"
"99","37.19999999999993","100.0","2.6881720430107574"
